source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[biological replicate]	characteristics[biological replicate unit]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[author cell population]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[carrier composition]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[sample preparation batch]	comment[author file identifier]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[author cell population]
PXD048347_S11	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S11	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S11.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C1	F11	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S12	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S12	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S12.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C1	F12	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S13	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F13	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S14	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F14	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S15	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S3	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S3.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F15	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S16	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F16	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S17	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S5	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S5.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F17	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S18	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S6	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S6.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F18	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S19	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F19	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S20	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S8	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S8.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F20	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S21	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S9	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S9.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F21	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S22	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F22	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S23	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S11	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S11.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F23	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
PXD048347_S24	Mus musculus	cell culture	not applicable	normal	embryonic	not available	not available	pooled	not applicable	carrier	not applicable	carrier	not applicable	carrier proteome	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S12	proteomic profiling by mass spectrometry	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S12.raw	NT=TMT126;AC=PRIDE:0000516	NT=TMT126;AC=PRIDE:0000516	not applicable	BRA-GFP-positive gastruloid cells	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	C2	F24	Author PD study maps native RAW, file ID and sample/channel ID; the linked paper identifies this follow-up as BRA-GFP-positive cells and BRA-GFP-only carrier. Each study row represents one isolated cell before downstream QC filtering. Biological replicate IDs enumerate cells within population, not independent cultures, differentiations or donors; those higher-level relationships are not supplied. Carrier 126 and empty 127C follow the paper and author script. Search modifications follow the deposited PD Sequest settings. https://doi.org/10.1016/j.stem.2024.04.017	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	carrier proteome
